Elecrow PN,Parts,Value,Package,QTY,Digikey/Mouser/Manufacturer Part,Remark/ Link
,"JP6,JP11,JP12",PHÅ@Male,THT,3,455-1704-ND ,Directions are written in silk pattern.
,BT1,BOX,CR2032V,1,855-S8401-46 ,
,D1,Diode,SMA,1,863-MBR130T3G ,
C1644,"C1,C2",12p,1608,2,,
C14663,"C7,C8,C9,C13,C14,C15,C16,C17,C18,C20,C5,C6,C3",0.1u,1608,13,,
,IC1,3.3VREG,v-reg-DPACK,1,511-LF33CDT-TR,
4040806A,LED1,BULE,1608,1,,
4041105A,LED2,ORANGE,1608,1,,
,"R5,R6",VR,SMD,2,81-PVZ3A472C01R00,
C25804,"R7,R8,R9,R10,R14,R19,R20,R22,R4",10k,1608,9,,
C21190,"R11,R12,R13,R21,R23,R24,R25,R26",1k,1608,8,,
,S1,switch-TL3XYO,1,612-EG1218,,
6030916A,"JP5,JP13,JP15,JP16",pinhead-1X02,4,,,
,U1,STM32F373CB,LQFP-48,1,511-STM32F373CBT6 ,
,U2,WIFI,ESP-13-WROOM-02,1,,Reauire a certification mark of conformance to technical standards in Japan.
,Y1,FC-135/32.K,ECS-31B_xtal,1,732-FC135-32.76KAA3,
,C12,1000u,810,1,647-UUD0J102MNL,
,C19,680u,1010,1,647-UWT1A681MNL1GS,
,IC2,DRIVER,SSOP24,1,757-TB6612FNGC8EL,
,"S2,S3",sw,THT,2,688-SKHHBV,
,Q1,NFET,SOT23,1,942-IRFML8244TRPBF ,
,M2,mSD,SMD,1,798-DM3ATSFPEJM511,
C15850,"C10,C11,C23",10u,2012,3,,
,F1,PTC,1812,1,507-1770-1-ND,
,M1,uUSB CON,SMD,1,649-10118194-0001LF,
